id,sentencia original,label,len_chars,len_words
817397404274036737,No está chido empezar el año con lesión de tobillo,N,50,10
800366436904562688,No mames lo triste Gabriel Badilla y por el corazon! El miedo que me dan esas cosas.,N,84,17
777078403086286848,soy una de las viejas,NEU,21,5
759229676669792257,"Llego a la casa a las 9:20 caminando, no hay comida, todos están dormidos, mañana tengo clases a las 8am, todo esta bien",N,120,23
772397615501762560,@BTWD_band @notengodinero @sxrcxstrxphx cabrones que sabéis que soy pobre,N,73,9
797919950018985984,@_aliciagonzg uf es que es muy emo,NEU,34,7
819028183852994560,"Extraño los tacos de ""El vaquero""",N,33,6
770064698230407169,@Alex_Yazawa a mi me parece entretenida pero ojala oudiese acceder a las comunidades inglesas,N,93,14
772489016352669701,Sabes que no tendrás un buen día cuando lo primero que haces en la mañana es tratar de cambiar un foco y este te cae en la cara,N,127,28
761946875654184960,"Solo tengo que decir estés dónde estés, estés con quién estés, aún te extraño... extraño que me revientes el hígado, oh, pisco amigo mío.",NEU,137,24
817466071380803584,El #NoaNoaStyle Es lo mejor que ha llegado a @luchalibreaaa @Pagano656 Enhorabuena #SinPayasoNoHayFiesta #ArrePapá,P,114,14
771015391669784576,"@Antonioortzb @lavuelta @luisangelmate Ojú, que envidia más mala me ha dado!!. Disfruta. Aún me duelen las piernas ¡¡que buena estaba!!",P,135,20
788492300766765056,"@esgarrTAM ¡Gracias a ustedes! en verdad siempre se lucen en sus conciertos, nos hicieron muy felices miles de besos y abrazos",P,126,21
816338875802976257,@adriantr09 @ClubTiburones @PumasMX Ya rugiste León Ya estufas,NEU,62,8
797224842567315456,"Me encontré una tarjeta pegada en el cajero y llamé al banco para reportarla, la dueña puede estar tranquila #whatgoesaroundcomesaround",NEU,135,20
818833128550699010,"@Abby_Maff pues si amiga, es muy feo",N,36,7
816426144862011392,"@_alineepa exacto, no va a pasar!! Pero cada quien puede y debe hacer su parte",NEU,78,15
806626357392343040,ay no hablen que el año que viene termino la secundaria,NEU,55,11
773360298472329216,Alvarado velando por mi salud,NEU,29,5
815831177386786817,Y se acabó diciembre mi mes favorito,P,36,7
812192450022412288,Que feo se siente o más bien que mal me siento al ver que se están robando un carro y el cabrón te ve cuando lo esta haciendo,N,125,28
774341858340274176,estoy pensando q a esta hora estaría viajando a argentina necesito q me peguen un balazo y me revivan desp del maximus ahre ni me revivan,N,137,26
781273986554486784,"Si por aca hay algún chico o una chica mayor de 18 que busca empleo para temporada navideña en tienda, que me ponga un Dm",NEU,121,25
793835901860229122,mañana hay entrega de trabajo final y yo aquí muy zen desayunando en paz sin tener ni media página escrita... ni las fuentes,NEU,124,23
770026118426529792,No me llamo Laura pero te casarias conmigo?  #ElRaboDe8cho @8choOficial,NEU,71,10
815753836170244096,Mi amigo me va a odiar por dejarlo plantado Porque le dije que íbamos a ir a una peda y pues ya no me dieron chance,N,115,26
790764319017500672,@eltreceoficial yo la vi muy bajoneada y tensa pobre @barvelez ...,N,66,11
762342280879628289,Cuando la comunidad del lol es una mierda  Pero la de Pokémon es buenísima Pero salió Pokémon GO y ahora son todos possers,N,122,23
816369591182131201,No sabía que el ser humano fuese capaz de producir tanto moco verde. Hasta ahora. #GanandoComoSiempre,N,101,16
768530491104497664,@Pirata__Roberts hay gente muy buena trabajando duro en @SpheraSports. Palabras así impulsan  @Eliperezup,P,105,13
772474018490359808,Tan ridículo como que lleguéis a un movimiento que no es vuestro y tratéis de hacerlo todo a vuestro puñetero gusto,N,115,21
813467340713193472,"@ignaciosolisw ya yo voy de vuelta, pero le dejé la pampa lindísima",P,67,12
818579724242972673,Lo bueno de ser un sin amigos es que puedo llegar a la hora que quiera a los lugares que quiero visitar.,NEU,104,22
768030025891414016,aquí escuchando el soundtrack de mamma mia con la ex dancing queen de maría,NEU,75,14
771278736339722241,"Me ha gustado mucho la respuesta a mi pregunta, aún así ojalá los vientos soplen a favor de los dos sea cuales sea nuestras direcciones",P,135,25
796192470895890435,"@iMCZC Ay, no me diga eso, todo es posible aún.",P,47,10
770235663946018817,He capturado mi primer gimnasio en el Pokemon Go. Cierto es que es probable que no tarden ni 10 minutos en quitarmelo. Pero mola,P,128,24
801291354978582528,@titabobra A mí jajaja y veame aquí con los ojos pelados,NEU,56,11
770902925736566784,No silencio lo que calla. Es la vida suspendida hasta que brotan las ganas de bailarla. #creatividad https://t.co/VXMZt8AVyJ,NEU,124,18
794715441486766084,Estos días me he soñado con el accidente varias veces Increíble el trauma que generan estas cosas!,N,98,17
816175658250420224,El reboot de Jumanji puede romper mi corazón x2. Porque puede ser horrible y además pueden arruinar la imagen que tengo de The Rock,N,131,24
767848218101215232,De las pocas veces que hablamos por skype me pareciste una grandísima persona,P,77,13
805836013708972032,@ForgerPancake Lo trasladaremos al equipo correspondiente. Saludos,NEU,66,7
799326694817595392,"@Kanalla10 @negromagallanes disfrutá mientras puedas, q prontito se acaba.",N,74,9
796809889171603456,"Otra vez quieren desnaturalizar el tema #BienestarAnimal, dejando en el texto de iniciativa popular sólo a perros y gatos.",N,122,19
813094151298420736,"Y de pronto todo dejo de importarme, y sí, así estuve viviendo feliz",NEU,68,13
771748984784314369,@ananda____ ahora entiendo xq me llaman enfermo mental,N,54,8
770994064451891200,Siempre las mejores personas son las que más sufren  #GetWellSoonSelenaFromSpain,N,80,10
815207325875236864,"Bueno, ¡a finalizar el último libro que tengo en mi “currently-reading” de @goodreads antes que termine el año!",NEU,111,18
769866755682492418,@lapollacaliente dos horitas más! Aunque me levanté destemplado,NEU,63,8
804526801972293634,@jugudik Reportate donde adas? Da señales de vida ¡Por Favor!,NEU,61,10
