Etiqueta,Entrenamiento,Validación,Prueba,Total,% Train
",",0,1,0,1,0.0
0,0,0,1,1,0.0
B-BIOMARCADOR,895,197,207,1299,1.32
B-CANCER,1207,296,364,1867,1.78
B-CIRUGIA,254,73,65,392,0.37
B-DOSIS,785,107,188,1080,1.16
B-EDAD,246,67,80,393,0.36
B-FECHA,1262,319,401,1982,1.86
B-GLEASON,598,148,160,906,0.88
B-MEDICAMENTO,483,91,164,738,0.71
B-TNM,355,89,93,537,0.52
B-TRATAMIENTO,1130,158,250,1538,1.66
I-BIOMARCADOR,874,170,287,1331,1.29
I-CANCER,2131,519,647,3297,3.14
I-CIRUGIA,331,71,65,467,0.49
I-DOSIS,1264,110,239,1613,1.86
I-EDAD,240,67,79,386,0.35
I-FECHA,1365,411,478,2254,2.01
I-GLEASON,984,225,262,1471,1.45
I-MEDICAMENTO,55,8,19,82,0.08
I-TNM,20,6,6,32,0.03
I-TRATAMIENTO,754,94,185,1033,1.11
O,52701,13576,16621,82898,77.58
